months_as_customer,age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,total_claims,days_as_customer,high_risk
371,51,10/15/05,IN,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,golf,other-relative,1/19/15,Single Vehicle Collision,Rear Collision,2,Fire,NY,Arlington,9751 Sky Ridge,7,1,YES,0,3,YES,75400,7540,15080,52780,Dodge,RAM,2012,Y,75400,3383,1
2,28,5/22/99,IL,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,golf,not-in-family,1/17/15,Single Vehicle Collision,Side Collision,1,Fire,NY,Northbend,9020 Elm Ave,19,1,YES,0,2,YES,58140,6460,6460,45220,Saab,92x,2008,N,58140,5719,1
269,44,12/21/02,OH,100/300,500,1297.75,4000000,FEMALE,JD,other-service,chess,own-child,2/1/15,Multi-vehicle Collision,Rear Collision,3,Ambulance,SC,Columbus,1830 Sky St,15,3,?,0,1,?,88400.65,15180,15180,68310,Chevrolet,Tahoe,2010,Y,98670,4425,1
101,27,2/10/07,IL,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,golf,other-relative,1/2/15,Parked Car,?,1,Unknown,SC,Hillsdale,6067 Weaver Ridge,7,1,?,0,3,NO,5900,1180,590,4130,Mercedes,E400,2009,N,5900,2883,0
94,30,3/1/02,IN,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,paintball,other-relative,2/20/15,Single Vehicle Collision,Rear Collision,2,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,?,1,3,YES,64100,6410,6410,51280,Chevrolet,Malibu,2001,N,64100,4739,1
117,28,4/21/03,OH,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,yachting,unmarried,2/5/15,Multi-vehicle Collision,Rear Collision,3,Fire,SC,Springfield,4058 Tree Drive,13,2,YES,0,1,?,55440,5040,10080,40320,Suburu,Forrestor,2009,Y,55440,4308,0
111,27,9/22/02,OH,250/500,500,1459.97,5000000,MALE,MD,sales,yachting,other-relative,2/27/15,Multi-vehicle Collision,Side Collision,2,Police,SC,Northbend,4983 MLK Ridge,2,3,NO,1,2,NO,80850,7350,14700,58800,Ford,F150,2011,Y,80850,4541,1
242,40,2/10/98,OH,100/300,500,1238.65,0,FEMALE,High School,transport-moving,bungie-jumping,husband,1/27/15,Vehicle Theft,?,0,Police,WV,Springfield,9744 Texas Drive,5,1,YES,1,1,NO,7480,680,680,6120,Saab,95,1998,N,7480,6195,0
440,61,9/1/92,OH,250/500,500,1050.76,0,MALE,PhD,transport-moving,movies,wife,1/26/15,Single Vehicle Collision,Side Collision,2,Fire,OH,Riverwood,8821 Elm St,21,1,?,2,3,NO,53640,5960,5960,41720,Nissan,Maxima,2004,Y,53640,8182,0
20,23,5/1/99,OH,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,base-jumping,wife,1/13/15,Multi-vehicle Collision,Rear Collision,2,Fire,SC,Northbrook,2886 Tree Ridge,21,3,NO,2,2,NO,63250,5750,11500,46000,Chevrolet,Tahoe,2002,Y,63250,5736,1
461,57,12/19/97,IL,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,golf,own-child,1/14/15,Multi-vehicle Collision,Side Collision,2,Ambulance,NY,Hillsdale,5236 Weaver Drive,7,3,NO,0,1,?,59040,9840,9840,39360,Dodge,RAM,1995,N,59040,6235,1
208,36,6/18/00,IL,250/500,500,1153.49,0,MALE,Associate,craft-repair,base-jumping,other-relative,2/22/15,Multi-vehicle Collision,Side Collision,3,Other,SC,Arlington,5862 Apache Ridge,16,3,YES,1,0,YES,50500,10100,5050,35350,Accura,TL,2004,N,50500,5362,0
279,43,4/24/95,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,cross-fit,other-relative,1/17/15,Single Vehicle Collision,Side Collision,2,Police,SC,Columbus,7859 4th Ridge,13,1,YES,0,1,NO,57690,6410,12820,38460,Mercedes,C300,2010,Y,57690,7208,0
244,40,6/16/06,IL,100/300,500,1342.8,0,FEMALE,MD,sales,base-jumping,husband,2/2/15,Vehicle Theft,?,0,Police,NY,Springfield,6259 Weaver St,2,1,YES,1,3,YES,5940,660,660,4620,Toyota,Camry,2014,N,5940,3153,0
134,30,9/28/07,OH,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,dancing,unmarried,1/7/15,Multi-vehicle Collision,Rear Collision,2,Fire,SC,Northbend,9980 Lincoln Ave,19,3,?,0,2,YES,47790,5310,5310,37170,Suburu,Impreza,1995,Y,47790,2658,0
122,29,11/21/91,OH,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,skydiving,other-relative,2/2/15,Parked Car,?,0,Unknown,SC,Riverwood,7828 Cherokee Ave,17,1,?,0,1,NO,3850,350,350,3150,Dodge,Neon,2014,N,3850,8474,0
156,31,9/21/96,IL,100/300,2000,1134.08,0,MALE,PhD,other-service,reading,husband,2/7/15,Single Vehicle Collision,Front Collision,2,Police,NC,Arlington,5812 Oak St,3,1,?,2,0,?,59000,5900,5900,47200,Ford,Fusion,2013,Y,59000,6713,1
232,43,5/16/01,OH,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,golf,husband,1/18/15,Multi-vehicle Collision,Rear Collision,2,Ambulance,NY,Arlington,2318 Washington Hwy,17,3,NO,0,1,?,70600,7060,14120,49420,Volkswagen,Passat,2013,Y,70600,4995,1
244,40,8/11/99,IN,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,base-jumping,other-relative,1/10/15,Multi-vehicle Collision,Side Collision,1,Police,SC,Hillsdale,8809 Flute St,5,3,?,1,1,?,61490,5590,11180,44720,Dodge,RAM,2001,N,61490,5631,1
84,30,6/16/03,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,kayaking,wife,1/30/15,Single Vehicle Collision,Side Collision,1,Police,SC,Northbend,3184 Oak Ave,9,1,NO,1,0,YES,57640,5240,10480,41920,Volkswagen,Passat,2010,N,57640,4246,0
394,57,3/30/99,IL,250/500,500,1401.2,0,FEMALE,High School,craft-repair,movies,own-child,1/25/15,Vehicle Theft,?,0,Police,NC,Hillsdale,6493 Lincoln Lane,9,1,NO,1,0,NO,6890,1060,1060,4770,Audi,A5,1999,N,6890,5780,0
246,45,2/3/99,IL,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,hiking,wife,1/29/15,Multi-vehicle Collision,Side Collision,2,Fire,PA,Columbus,7162 Maple Ave,9,3,?,2,2,?,53280,11840,5920,35520,Toyota,Camry,2006,Y,53280,5839,0
35,29,8/25/11,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,video-games,unmarried,2/24/15,Multi-vehicle Collision,Rear Collision,1,Fire,SC,Springfield,5455 Tree Ridge,22,3,NO,0,0,?,78300,15660,7830,54810,BMW,X5,2009,N,78300,1279,1
156,37,6/28/10,OH,100/300,500,1080.13,0,MALE,Associate,protective-serv,reading,other-relative,1/4/15,Multi-vehicle Collision,Rear Collision,2,Ambulance,PA,Springfield,5778 Pine Ridge,15,3,YES,0,3,NO,41490,4610,4610,32270,Nissan,Pathfinder,2001,N,41490,1651,0
195,36,11/6/01,IN,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,camping,wife,2/25/15,Multi-vehicle Collision,Front Collision,3,Fire,SC,Hillsdale,3797 Solo Lane,14,3,YES,2,3,YES,68970,12540,6270,50160,Chevrolet,Tahoe,2007,N,68970,4859,1
369,55,4/15/13,OH,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,camping,husband,1/27/15,Multi-vehicle Collision,Rear Collision,1,Police,VA,Arlington,9373 Pine Hwy,6,3,?,2,0,YES,85300,17060,8530,59710,Toyota,Highlander,2003,N,85300,652,1
271,40,12/7/95,IL,100/300,1000,1251.65,0,FEMALE,Associate,other-service,camping,wife,2/19/15,Parked Car,?,1,Unknown,NY,Hillsdale,1365 Francis Ave,6,1,NO,0,0,NO,3080,560,280,2240,Audi,A3,2012,N,3080,7014,0
332,47,11/1/91,IL,100/300,2000,1083.01,0,MALE,MD,craft-repair,paintball,other-relative,1/31/15,Multi-vehicle Collision,Front Collision,2,Police,WV,Arlington,9239 Washington Ridge,22,4,YES,2,0,?,71760,11040,11040,49680,Jeep,Grand Cherokee,2010,Y,71760,8492,1
107,26,5/19/14,OH,100/300,500,974.59,0,FEMALE,JD,armed-forces,skydiving,wife,1/18/15,Multi-vehicle Collision,Rear Collision,1,Ambulance,NY,Arlington,3416 Washington Drive,14,3,?,1,0,NO,59700,11940,11940,35820,Nissan,Ultima,2002,N,59700,244,1
217,39,3/15/92,IL,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,skydiving,other-relative,1/10/15,Multi-vehicle Collision,Front Collision,1,Fire,NY,Columbus,1923 2nd Hwy,16,3,NO,0,2,?,64920,10820,10820,43280,Ford,Fusion,1997,N,64920,8336,1
243,43,2/3/06,IN,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,board-games,own-child,1/28/15,Multi-vehicle Collision,Front Collision,2,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,?,0,1,NO,37530,4170,4170,29190,Jeep,Wrangler,2008,N,37530,3281,0
296,42,3/16/03,IN,250/500,2000,1219.27,0,MALE,Associate,tech-support,paintball,husband,2/16/15,Multi-vehicle Collision,Side Collision,3,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,YES,1,2,NO,64080,7120,7120,49840,Saab,93,2012,N,64080,4355,1
264,41,10/16/02,OH,100/300,500,1411.3,0,MALE,PhD,prof-specialty,cross-fit,unmarried,2/8/15,Single Vehicle Collision,Rear Collision,1,Other,PA,Northbrook,4158 Washington Lane,4,1,NO,1,0,?,60390,10980,5490,43920,BMW,M5,2004,Y,60390,4498,1
108,33,1/27/90,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,not-in-family,1/20/15,Multi-vehicle Collision,Side Collision,2,Police,WV,Northbend,3796 Cherokee Drive,6,3,?,0,1,YES,64350,5850,11700,46800,Nissan,Pathfinder,2011,Y,64350,9124,1
32,38,3/11/10,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,own-child,2/6/15,Multi-vehicle Collision,Side Collision,1,Police,SC,Northbend,7434 Oak Hwy,15,3,YES,2,1,YES,70900,14180,7090,49630,BMW,X6,1997,N,70900,1793,1
259,39,9/19/95,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,movies,unmarried,1/24/15,Multi-vehicle Collision,Side Collision,1,Fire,PA,Columbus,5178 Weaver Hwy,12,3,NO,1,3,?,46560,7760,7760,31040,Nissan,Ultima,2012,N,46560,7067,0
186,33,2/27/10,IN,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,cross-fit,wife,1/14/15,Vehicle Theft,?,0,Police,NY,Arlington,8477 Francis Hwy,3,1,NO,2,1,?,4730,860,860,3010,Chevrolet,Malibu,2013,Y,4730,1782,0
201,40,12/28/91,OH,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,video-games,not-in-family,2/18/15,Vehicle Theft,?,1,Police,SC,Northbrook,7693 Britain Lane,14,1,YES,0,0,YES,6820,1240,1240,4340,Jeep,Grand Cherokee,2003,N,6820,8453,0
436,58,4/30/02,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,other-relative,1/10/15,Single Vehicle Collision,Rear Collision,2,Police,WV,Riverwood,3658 Rock Drive,10,1,?,0,2,?,59900,11980,5990,41930,BMW,X5,1997,Y,59900,4638,1
189,36,4/28/07,OH,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,basketball,own-child,2/13/15,Multi-vehicle Collision,Side Collision,2,Police,WV,Riverwood,2617 Andromedia Drive,17,3,?,1,3,YES,79560,13260,13260,53040,Ford,Escape,2009,N,79560,2848,1
105,33,7/8/96,IL,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,kayaking,not-in-family,2/17/15,Single Vehicle Collision,Front Collision,3,Other,VA,Northbrook,9279 Oak Hwy,8,1,YES,0,1,?,70290,12780,6390,51120,Accura,MDX,2008,N,70290,6798,1
163,31,4/1/02,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,hiking,not-in-family,1/7/15,Multi-vehicle Collision,Rear Collision,3,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,YES,2,0,NO,63910,5810,11620,46480,Suburu,Forrestor,1999,N,63910,4664,1
219,40,10/29/06,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,golf,not-in-family,1/29/15,Vehicle Theft,?,0,Unknown,SC,Riverwood,5901 Elm Drive,6,1,?,1,0,NO,6400,640,640,5120,Toyota,Camry,1997,N,6400,3014,0
88,25,10/25/07,IN,250/500,1000,1194,0,FEMALE,JD,handlers-cleaners,movies,husband,2/13/15,Single Vehicle Collision,Rear Collision,2,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,YES,1,2,YES,66780,7420,7420,51940,Ford,Escape,2013,Y,66780,2668,1
40,39,3/28/01,IN,500/1000,1000,1248.25,4000000,FEMALE,College,sales,hiking,own-child,2/1/15,Parked Car,?,1,Police,VA,Northbrook,3376 5th Drive,8,1,NO,0,2,?,8760,1460,1460,5840,BMW,3 Series,2013,N,8760,5058,0
284,42,5/4/95,OH,100/300,500,1338.54,-1000000,MALE,Associate,machine-op-inspct,kayaking,wife,1/29/15,Single Vehicle Collision,Side Collision,2,Ambulance,NC,Arlington,3936 Tree Drive,13,1,YES,0,1,?,88400.65,8560,17120,68480,Chevrolet,Malibu,1996,N,94160,7210,1
59,40,9/28/11,IL,250/500,2000,782.23,0,MALE,College,protective-serv,golf,other-relative,2/6/15,Multi-vehicle Collision,Front Collision,3,Ambulance,OH,Springfield,6605 Tree Ave,0,3,?,0,2,NO,51570,5730,11460,34380,BMW,X5,2010,N,51570,1227,0
39,31,1/28/03,IL,250/500,2000,1366.9,0,FEMALE,High School,handlers-cleaners,polo,husband,1/28/15,Multi-vehicle Collision,Rear Collision,2,Fire,NC,Northbend,3102 Apache St,14,3,?,1,0,NO,52700,10540,10540,31620,BMW,X6,2014,Y,52700,4383,0
147,34,2/1/11,IL,500/1000,1000,1275.81,0,MALE,High School,sales,dancing,wife,1/21/15,Single Vehicle Collision,Side Collision,1,Fire,NY,Columbus,7756 Pine Hwy,13,1,YES,2,2,?,88400.65,15540,15540,69930,Mercedes,ML350,1998,N,101010,1450,1
156,37,2/9/93,IN,250/500,500,1090.65,0,MALE,High School,exec-managerial,golf,unmarried,1/16/15,Multi-vehicle Collision,Rear Collision,1,Police,NC,Columbus,7142 5th Lane,16,4,?,1,2,YES,53400,5340,5340,42720,Honda,Civic,2010,Y,53400,8011,0
123,31,8/5/05,IN,250/500,500,1326,0,FEMALE,Associate,prof-specialty,basketball,wife,2/17/15,Single Vehicle Collision,Side Collision,3,Fire,SC,Northbrook,2914 Oak Drive,13,1,?,1,2,NO,72120,12020,12020,48080,Mercedes,ML350,2009,N,72120,3483,1
231,43,6/17/06,IL,250/500,2000,972.47,0,MALE,College,protective-serv,reading,wife,2/1/15,Multi-vehicle Collision,Front Collision,1,Police,PA,Hillsdale,6522 Apache Drive,15,3,YES,2,2,YES,77100,7710,15420,53970,Audi,A3,2010,N,77100,3151,1
247,39,12/7/93,IL,100/300,500,806.31,0,FEMALE,College,handlers-cleaners,dancing,wife,2/25/15,Parked Car,?,0,Police,SC,Northbend,5279 Pine Ridge,3,1,?,2,3,?,3300,600,0,2700,Dodge,RAM,2003,N,3300,7750,0
194,35,3/14/12,IL,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,golf,not-in-family,2/26/15,Parked Car,?,1,Unknown,WV,Northbend,8078 Britain Hwy,7,1,YES,1,0,?,5940,1080,540,4320,Nissan,Pathfinder,2003,N,5940,1079,0
119,27,8/5/97,IN,250/500,2000,1097.64,0,MALE,High School,transport-moving,video-games,other-relative,2/6/15,Multi-vehicle Collision,Rear Collision,2,Other,PA,Northbend,1133 Apache St,16,2,NO,1,0,?,63720,7080,21240,35400,Accura,TL,2006,N,63720,6394,1
259,43,7/5/09,IL,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,2/3/15,Vehicle Theft,?,0,Police,SC,Riverwood,2873 Flute Ave,15,1,NO,1,3,NO,7680,1280,640,5760,Audi,A5,2008,N,7680,2039,0
107,31,11/25/94,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,yachting,own-child,1/27/15,Multi-vehicle Collision,Side Collision,3,Police,NY,Riverwood,8509 Apache St,21,3,YES,1,2,?,88400.65,14420,21630,57680,Honda,CRV,2001,N,93730,7368,1
48,44,2/3/97,IL,100/300,2000,1400.74,0,MALE,College,sales,base-jumping,other-relative,1/21/15,Multi-vehicle Collision,Rear Collision,2,Police,NC,Arlington,8245 4th Hwy,23,3,YES,0,2,?,87300,17460,17460,52380,Jeep,Wrangler,2013,N,87300,6561,1
267,40,10/9/09,IL,250/500,500,1155.53,5000000,MALE,JD,transport-moving,camping,wife,1/24/15,Parked Car,?,0,Police,NY,Columbus,3094 Best Lane,5,1,?,0,2,NO,5670,1260,630,3780,Ford,F150,1997,N,5670,1933,0
286,47,11/20/02,IN,250/500,500,1386.93,0,MALE,High School,priv-house-serv,bungie-jumping,husband,1/17/15,Multi-vehicle Collision,Rear Collision,1,Other,NY,Springfield,8188 Tree Ave,15,3,YES,0,0,NO,65800,13160,6580,46060,Accura,TL,2001,N,65800,4441,1
175,34,5/29/95,OH,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,base-jumping,wife,2/23/15,Single Vehicle Collision,Front Collision,2,Other,NY,Arlington,5224 5th Lane,14,1,?,2,1,YES,36720,4080,4080,28560,Honda,Accord,2009,Y,36720,7210,0
111,29,1/22/11,IL,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,kayaking,own-child,1/9/15,Single Vehicle Collision,Side Collision,2,Fire,SC,Riverwood,2230 1st St,1,1,?,1,1,YES,52800,4800,9600,38400,Mercedes,ML350,1996,Y,52800,1448,0
151,37,10/18/12,IN,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,cross-fit,unmarried,2/15/15,Multi-vehicle Collision,Rear Collision,3,Fire,SC,Arlington,6719 Flute St,14,3,NO,1,2,YES,59100,5910,5910,47280,Nissan,Maxima,1998,Y,59100,850,1
156,37,10/13/91,OH,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,hiking,unmarried,1/16/15,Multi-vehicle Collision,Rear Collision,3,Other,NY,Northbrook,8064 4th Ave,17,3,?,1,1,YES,77440,14080,7040,56320,Suburu,Legacy,1999,N,77440,8496,1
165,36,10/1/10,IL,250/500,2000,1247.87,0,MALE,Masters,armed-forces,golf,husband,1/14/15,Multi-vehicle Collision,Side Collision,3,Fire,NY,Northbend,2469 Francis Lane,20,3,NO,2,2,NO,45700,4570,4570,36560,BMW,3 Series,2008,N,45700,1566,0
253,41,4/10/13,OH,100/300,2000,1312.75,0,FEMALE,PhD,sales,dancing,other-relative,1/1/15,Multi-vehicle Collision,Rear Collision,2,Other,SC,Springfield,4671 5th Ridge,10,3,NO,2,2,YES,80740,7340,14680,58720,Toyota,Camry,2014,Y,80740,631,1
10,26,6/11/08,IN,100/300,2000,765.64,0,MALE,MD,sales,base-jumping,not-in-family,2/16/15,Multi-vehicle Collision,Front Collision,2,Ambulance,SC,Northbrook,6985 Maple Lane,3,3,?,0,3,?,31350,2850,5700,22800,Honda,Accord,2001,Y,31350,2441,0
158,33,12/4/13,OH,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,1/4/15,Single Vehicle Collision,Side Collision,3,Other,SC,Hillsdale,7791 Britain Ridge,0,1,?,0,0,?,35000,3500,7000,24500,Suburu,Legacy,2012,N,35000,396,0
436,59,8/21/10,OH,500/1000,1000,1338.55,0,MALE,PhD,protective-serv,board-games,own-child,1/12/15,Multi-vehicle Collision,Side Collision,3,Police,WV,Hillsdale,6355 4th Hwy,10,3,?,2,2,NO,68000,13600,6800,47600,Toyota,Corolla,2014,N,68000,1605,1
91,30,6/18/10,IL,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,golf,unmarried,1/8/15,Multi-vehicle Collision,Side Collision,1,Other,SC,Northbend,3495 Britain Drive,13,3,YES,2,0,?,84500,13000,13000,58500,BMW,X6,2009,N,84500,1665,1
256,42,4/10/92,IL,500/1000,1000,1286.44,0,FEMALE,MD,transport-moving,bungie-jumping,wife,1/22/15,Single Vehicle Collision,Rear Collision,1,Police,WV,Northbend,2980 Sky Ridge,14,1,NO,2,1,?,75500,7550,15100,52850,Nissan,Ultima,1998,N,75500,8322,1
274,46,2/3/97,OH,500/1000,1000,1372.18,0,MALE,High School,exec-managerial,bungie-jumping,not-in-family,1/13/15,Multi-vehicle Collision,Side Collision,3,Other,WV,Riverwood,5914 Oak Ave,22,3,NO,1,3,?,88400.65,15100,15100,60400,BMW,X5,2009,N,90600,6553,1
275,45,12/6/91,IN,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,camping,wife,1/18/15,Multi-vehicle Collision,Side Collision,3,Ambulance,VA,Northbend,3835 5th Ave,8,3,YES,1,1,?,64320,5360,10720,48240,Accura,MDX,1998,N,64320,8444,1
1,33,9/19/95,IL,250/500,500,903.32,0,FEMALE,High School,transport-moving,yachting,not-in-family,1/19/15,Multi-vehicle Collision,Rear Collision,1,Police,NY,Northbend,5925 Tree Hwy,1,3,?,1,0,?,31700,6340,3170,22190,Toyota,Highlander,2006,N,31700,7062,0
85,30,10/29/93,IN,500/1000,1000,1454.42,0,MALE,Associate,protective-serv,reading,other-relative,1/31/15,Single Vehicle Collision,Side Collision,2,Other,NY,Springfield,6250 1st Ridge,19,1,YES,0,1,YES,74280,12380,12380,49520,Suburu,Forrestor,2006,Y,74280,7764,1
233,37,11/3/91,IL,100/300,2000,1603.42,0,FEMALE,High School,sales,video-games,wife,2/6/15,Single Vehicle Collision,Front Collision,3,Fire,NY,Columbus,1346 5th Lane,17,1,YES,0,2,YES,80520,13420,6710,60390,Toyota,Corolla,2005,N,80520,8496,1
142,30,7/9/02,IN,250/500,2000,1616.58,0,MALE,JD,adm-clerical,polo,husband,2/4/15,Multi-vehicle Collision,Rear Collision,2,Other,SC,Hillsdale,1128 Maple Lane,13,3,YES,0,3,YES,63600,6360,12720,44520,Dodge,RAM,2010,N,63600,4593,1
266,44,12/7/99,IL,250/500,500,1611.83,0,MALE,High School,handlers-cleaners,movies,husband,1/2/15,Single Vehicle Collision,Front Collision,3,Police,WV,Riverwood,6309 Cherokee Ave,4,1,?,1,2,YES,32800,3280,3280,26240,BMW,3 Series,2012,N,32800,5505,0
350,50,7/1/05,OH,500/1000,500,889.13,0,FEMALE,Masters,priv-house-serv,board-games,other-relative,2/26/15,Multi-vehicle Collision,Rear Collision,3,Police,PA,Northbend,4618 Flute Ave,14,3,NO,0,2,NO,44190,9820,4910,29460,Audi,A3,2015,N,44190,3527,0
97,26,11/4/91,IL,250/500,1000,1252.08,0,MALE,College,exec-managerial,sleeping,not-in-family,2/8/15,Multi-vehicle Collision,Rear Collision,2,Other,VA,Springfield,6191 Oak Lane,4,2,YES,2,2,NO,50400,10080,5040,35280,Honda,CRV,2000,Y,50400,8497,0
399,55,4/14/93,IL,500/1000,2000,995.56,0,MALE,JD,tech-support,sleeping,not-in-family,2/7/15,Multi-vehicle Collision,Side Collision,3,Police,NY,Northbend,1316 Britain Ridge,23,3,YES,1,1,YES,88400,17680,8840,61880,Nissan,Pathfinder,2010,N,88400,7969,1
305,49,8/23/09,IL,100/300,2000,1347.92,0,FEMALE,High School,farming-fishing,bungie-jumping,own-child,2/17/15,Multi-vehicle Collision,Front Collision,3,Fire,NY,Hillsdale,5924 Maple Drive,21,3,YES,0,2,?,66550,12100,6050,48400,Volkswagen,Jetta,2003,N,66550,2004,1
276,47,6/18/93,IN,100/300,1000,1724.09,0,MALE,PhD,craft-repair,yachting,own-child,1/12/15,Multi-vehicle Collision,Rear Collision,1,Police,NY,Arlington,8917 Tree Ridge,23,3,YES,0,0,?,65780,5980,11960,47840,Chevrolet,Tahoe,2014,N,65780,7878,1
257,40,7/17/12,IN,250/500,500,1379.93,0,MALE,MD,armed-forces,base-jumping,husband,2/1/15,Multi-vehicle Collision,Side Collision,2,Other,NY,Columbus,3966 Francis Ridge,6,3,?,0,2,YES,51810,9420,4710,37680,Audi,A3,2002,Y,51810,929,0
78,31,1/25/99,IN,250/500,1000,1554.64,4000000,MALE,PhD,protective-serv,board-games,own-child,2/3/15,Single Vehicle Collision,Front Collision,2,Other,WV,Springfield,1507 Solo Ave,21,1,NO,1,0,NO,55660,5060,10120,40480,Honda,CRV,2009,Y,55660,5853,0
129,28,2/23/90,OH,500/1000,1000,1377.94,0,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,2/21/15,Single Vehicle Collision,Side Collision,2,Fire,NY,Springfield,4272 Oak Ridge,23,1,?,2,3,?,44640,9920,4960,29760,Toyota,Camry,2005,N,44640,9129,0
283,46,8/30/00,IL,500/1000,2000,1313.33,0,FEMALE,PhD,transport-moving,reading,husband,1/9/15,Multi-vehicle Collision,Front Collision,2,Ambulance,NY,Riverwood,4434 Lincoln Ave,3,3,?,1,3,NO,77660,7060,14120,56480,Nissan,Maxima,2004,Y,77660,5245,1
85,25,9/3/08,IN,250/500,500,1259.02,0,FEMALE,JD,tech-support,base-jumping,unmarried,2/16/15,Parked Car,?,0,Unknown,SC,Northbend,7529 Solo Ridge,8,1,NO,2,2,?,5640,940,940,3760,Nissan,Ultima,2005,N,5640,2357,0
101,26,8/2/91,IL,500/1000,1000,1371.88,0,FEMALE,MD,prof-specialty,reading,husband,2/4/15,Parked Car,?,0,Unknown,VA,Arlington,8096 Apache Hwy,4,1,?,2,2,?,3190,580,580,2030,Suburu,Legacy,1995,N,3190,8587,0
96,30,9/25/01,OH,100/300,500,1399.27,6000000,MALE,College,prof-specialty,hiking,wife,2/24/15,Single Vehicle Collision,Side Collision,3,Fire,NC,Arlington,9417 Tree Hwy,22,1,?,0,0,YES,53440,0,6680,46760,Ford,Escape,2004,N,53440,4900,0
121,31,3/11/07,IL,500/1000,1000,1061.98,6000000,FEMALE,JD,armed-forces,camping,unmarried,2/1/15,Single Vehicle Collision,Rear Collision,1,Police,WV,Hillsdale,3809 Texas Lane,16,1,NO,0,1,YES,65250,7250,7250,50750,BMW,3 Series,2002,N,65250,2884,1
176,39,11/20/10,OH,250/500,500,1365.46,4000000,MALE,College,armed-forces,sleeping,unmarried,2/5/15,Multi-vehicle Collision,Side Collision,1,Fire,SC,Columbus,1540 Apache Lane,14,3,NO,2,1,NO,44280,4920,4920,34440,Chevrolet,Silverado,2008,N,44280,1538,0
159,37,8/28/98,IL,500/1000,1000,894.4,0,MALE,Associate,tech-support,camping,wife,1/7/15,Single Vehicle Collision,Rear Collision,3,Police,NY,Springfield,2337 Lincoln Hwy,13,1,YES,2,0,NO,70290,7810,7810,54670,Dodge,RAM,1999,N,70290,5976,1
120,30,7/16/02,IN,250/500,500,956.69,0,FEMALE,Associate,priv-house-serv,movies,husband,2/6/15,Single Vehicle Collision,Front Collision,1,Other,NY,Hillsdale,6770 1st St,20,1,?,1,1,YES,87100,8710,8710,69680,Saab,92x,2000,N,87100,4588,1
